student_id,hours_studied,attendance_percent,sleep_hours,assignment_score,previous_scores,extracurricular,exam_score,performance_category
82,5.7,75.0,6.1,87.2,74.0,No,82.8,Distinction
83,8.0,87.6,6.1,54.8,43.3,Yes,80.7,Distinction
84,4.0,100.0,9.0,70.9,30.6,No,69.8,Pass
85,3.4,82.2,7.0,76.4,56.7,No,60.5,Pass
86,4.0,83.0,7.0,80.4,46.7,Yes,60.7,Pass
87,6.8,74.5,7.7,72.6,57.4,No,64.9,Pass
88,5.7,69.8,6.8,64.5,62.8,Yes,64.0,Pass
89,3.9,90.0,6.2,57.6,58.2,No,61.5,Pass
90,6.0,69.7,6.3,71.3,86.8,No,59.8,Fail
91,5.2,80.9,6.4,53.9,69.9,No,65.1,Pass
92,6.9,74.3,6.5,26.2,69.5,No,62.4,Pass
93,3.6,85.7,7.4,76.5,74.3,Yes,52.6,Fail
94,4.3,84.0,6.6,83.6,47.9,Yes,58.1,Fail
95,4.2,92.5,7.4,34.6,80.6,No,59.7,Fail
96,2.1,73.9,6.4,54.9,63.9,No,61.4,Pass
97,5.6,76.8,6.6,79.3,75.1,No,71.4,Distinction
98,5.5,68.3,4.1,100.0,48.9,No,54.4,Fail
99,5.0,74.7,7.6,70.3,41.7,No,65.2,Pass
100,4.5,84.5,6.9,59.1,77.3,No,54.5,Fail
101,2.2,89.1,7.7,67.3,70.6,Yes,65.2,Pass
102,4.2,68.9,4.0,90.6,51.5,No,53.8,Fail
103,4.3,90.4,9.0,60.3,52.0,No,64.8,Pass
104,3.4,96.3,6.3,58.0,81.9,Yes,70.3,Distinction
105,4.7,85.0,7.8,62.8,47.2,No,55.8,Fail
106,5.8,100.0,5.3,55.7,89.6,No,62.2,Pass
107,8.8,70.7,7.2,71.8,51.5,No,71.7,Distinction
108,5.3,65.1,5.2,94.4,74.6,Yes,70.5,Distinction
109,5.5,58.7,5.8,74.8,60.1,Yes,50.7,Fail
110,4.9,98.0,8.8,66.2,74.0,No,55.2,Fail
111,1.2,87.9,6.3,65.6,56.8,No,48.4,Fail
112,4.9,79.3,6.8,46.6,62.6,Yes,63.7,Pass
113,5.1,83.4,7.5,83.2,65.6,Yes,76.2,Distinction
114,9.9,66.5,7.1,68.8,50.0,No,74.5,Distinction
115,4.6,100.0,6.7,67.3,76.1,Yes,66.4,Pass
116,5.6,81.6,6.9,100.0,57.3,No,78.0,Distinction
117,4.9,81.3,9.0,74.5,61.6,No,57.1,Fail
118,2.7,88.7,6.4,58.7,50.1,Yes,52.7,Fail
119,7.3,85.8,6.7,63.6,30.0,No,70.7,Distinction
120,6.5,82.7,7.8,87.2,62.1,Yes,77.1,Distinction
121,6.6,70.5,7.8,71.7,100.0,Yes,70.1,Pass
122,3.2,85.7,7.9,48.4,76.8,No,59.6,Fail
123,7.8,100.0,7.3,83.8,64.7,No,67.4,Pass
124,2.2,96.1,5.1,,61.1,No,50.5,Fail
125,6.2,99.1,8.5,98.1,65.3,No,83.2,Distinction
126,9.4,73.9,5.1,86.2,73.2,Yes,73.4,Distinction
127,3.0,68.1,6.9,63.3,47.3,Yes,52.5,Fail
128,3.9,78.5,,89.2,81.7,Yes,65.9,Pass
129,5.2,80.7,6.4,71.0,75.7,Yes,64.1,Pass
130,4.0,93.1,6.9,82.8,75.8,Yes,68.6,Pass
131,1.9,59.7,6.9,77.3,71.6,Yes,44.9,Fail
132,5.1,98.4,7.0,57.3,65.3,No,66.8,Pass
133,2.9,78.1,8.4,60.3,75.1,No,62.5,Pass
134,5.9,74.9,7.0,85.4,73.9,No,71.0,Distinction
135,3.2,67.9,6.2,65.0,59.7,No,49.7,Fail
136,8.1,60.1,7.7,63.9,56.4,Yes,71.5,Distinction
137,3.4,89.9,7.9,55.7,66.5,Yes,65.5,Pass
138,4.4,80.9,5.0,76.4,88.2,No,51.1,Fail
139,6.6,64.5,,100.0,46.4,No,76.6,Distinction
140,2.5,64.5,7.3,54.0,43.0,Yes,46.2,Fail
141,5.5,76.0,6.1,70.4,67.5,No,67.3,Pass
142,7.6,100.0,8.2,91.2,65.8,No,91.3,Distinction
143,1.8,76.9,6.3,68.8,67.6,No,43.8,Fail
144,5.4,62.0,6.7,76.8,68.7,Yes,58.6,Fail
145,5.5,77.1,6.3,54.1,61.7,No,60.5,Pass
146,6.6,76.7,6.5,76.4,87.3,No,67.5,Pass
147,2.5,47.6,5.2,67.2,41.0,No,53.0,Fail
148,2.4,79.3,4.8,84.8,52.6,No,48.3,Fail
149,6.0,77.2,8.4,87.8,63.5,No,69.1,Pass
150,5.6,88.4,5.5,100.0,40.4,No,70.2,Distinction
151,5.5,100.0,5.3,78.7,62.4,Yes,63.0,Pass
152,5.7,93.5,4.0,74.9,89.9,No,67.2,Pass
153,3.6,76.8,5.7,72.9,65.3,No,59.7,Fail
154,5.5,66.7,4.9,64.7,68.5,No,57.8,Fail
155,5.6,100.0,8.5,75.1,46.1,Yes,72.7,Distinction
156,3.6,80.7,7.7,65.6,55.8,Yes,56.6,Fail
157,8.7,80.2,5.7,72.5,59.4,No,66.8,Pass
158,5.9,79.7,9.0,89.8,60.2,No,75.5,Distinction
159,2.6,82.4,7.7,54.9,84.2,No,68.4,Pass
160,6.3,78.3,6.1,87.1,73.4,No,71.3,Distinction
161,3.1,73.1,4.0,89.8,48.3,No,54.8,Fail
162,6.6,73.4,9.0,68.2,68.7,No,76.2,Distinction
163,7.3,79.6,4.8,38.2,72.5,No,58.0,Fail
164,3.4,73.5,4.5,60.9,82.1,No,64.6,Pass
165,6.9,71.4,,89.5,88.7,No,77.1,Distinction
166,5.8,81.3,9.0,69.7,49.8,Yes,79.4,Distinction
167,6.6,76.9,8.2,55.0,52.8,No,63.8,Pass
168,8.8,98.0,7.2,62.4,46.1,No,91.0,Distinction
169,4.5,48.2,7.2,82.6,61.5,Yes,61.8,Pass
170,3.5,93.1,7.5,78.2,72.0,Yes,69.0,Pass
171,3.2,95.0,7.4,66.4,79.8,Yes,65.4,Pass
172,3.4,55.1,6.8,64.5,63.9,Yes,50.4,Fail
173,4.8,75.9,6.6,64.1,60.2,Yes,68.5,Pass
174,5.7,75.5,6.4,56.2,67.3,No,64.4,Pass
175,5.6,63.1,5.6,94.2,52.5,No,51.4,Fail
176,6.7,70.7,6.2,,96.3,No,63.1,Pass
177,5.0,66.7,4.5,88.3,40.9,Yes,57.1,Fail
178,7.9,100.0,6.4,92.8,67.8,Yes,84.8,Distinction
179,4.5,91.2,5.3,85.0,95.4,No,68.5,Pass
180,10.0,95.3,5.2,63.5,65.1,Yes,90.0,Distinction
181,6.3,88.7,6.7,76.1,62.1,No,60.2,Fail
182,3.3,66.5,8.2,69.6,59.6,No,57.7,Fail
183,2.9,73.7,7.6,56.4,62.3,No,43.8,Fail
184,6.0,85.9,4.6,74.9,85.6,Yes,73.7,Distinction
185,4.6,65.3,5.3,52.3,31.8,No,50.8,Fail
186,6.4,88.6,7.6,87.8,88.0,Yes,80.4,Distinction
187,5.9,77.1,5.3,63.0,43.6,No,56.5,Fail
188,4.9,75.5,6.2,73.0,61.0,No,70.1,Pass
189,3.3,88.5,7.2,74.2,58.6,Yes,67.7,Pass
190,2.0,85.3,5.3,66.1,73.8,Yes,57.1,Fail
191,4.1,75.7,6.6,78.8,41.0,Yes,58.3,Fail
192,6.7,93.9,4.9,62.9,71.9,No,74.4,Distinction
193,5.4,67.0,5.8,83.1,95.4,Yes,62.1,Pass
194,2.5,87.4,6.9,49.8,44.6,No,58.0,Fail
195,5.3,87.1,4.6,71.9,67.8,Yes,74.7,Distinction
196,5.8,76.3,7.0,99.1,55.1,No,76.7,Distinction
197,3.2,83.9,6.5,55.0,71.4,No,52.9,Fail
198,5.3,65.0,7.2,59.8,65.3,No,63.3,Pass
199,5.1,91.1,6.8,77.7,55.4,No,60.3,Fail
200,2.7,77.8,8.1,72.7,72.3,Yes,62.6,Pass
201,5.7,73.7,6.7,75.3,92.1,Yes,71.6,Distinction
202,6.1,92.6,6.0,77.3,62.1,No,60.1,Fail
203,7.2,71.5,6.6,79.5,75.8,Yes,65.5,Pass
204,7.1,63.1,7.2,86.6,45.6,No,67.3,Pass
205,2.2,61.3,6.6,76.1,50.7,Yes,47.6,Fail
206,3.1,87.3,6.5,66.4,72.1,Yes,52.3,Fail
207,6.0,64.6,5.7,80.1,87.3,Yes,68.8,Pass
208,6.0,100.0,5.7,98.5,70.3,No,77.9,Distinction
209,6.0,55.0,4.8,68.0,60.3,Yes,57.0,Fail
210,10.0,100.0,8.6,55.4,65.0,No,83.2,Distinction
211,6.1,82.5,5.0,86.6,46.2,Yes,73.4,Distinction
212,7.3,78.8,5.7,68.2,74.1,No,81.4,Distinction
213,6.9,73.5,5.6,37.4,78.2,Yes,61.5,Pass
214,6.3,84.8,7.6,82.7,58.2,No,69.2,Pass
215,4.4,79.5,6.1,62.0,57.9,No,62.5,Pass
216,6.5,93.2,8.0,68.6,69.0,Yes,73.1,Distinction
217,3.5,81.4,5.7,75.0,58.4,No,57.4,Fail
218,4.5,81.8,6.8,72.9,64.0,No,68.2,Pass
219,4.0,75.6,5.5,80.6,96.5,No,51.4,Fail
220,5.2,79.3,9.0,63.5,61.3,No,75.1,Distinction
221,9.6,83.7,5.1,77.7,59.6,Yes,80.2,Distinction
222,1.3,59.5,6.9,66.1,55.3,No,42.8,Fail
223,6.4,63.8,7.3,81.1,76.2,Yes,68.5,Pass
224,1.8,88.9,7.0,79.2,62.3,Yes,56.9,Fail
225,4.1,82.1,6.3,56.0,55.3,No,47.9,Fail
226,7.2,77.8,6.3,86.3,84.8,Yes,84.5,Distinction
227,5.1,80.2,6.6,62.0,86.3,No,66.0,Pass
228,2.8,84.2,6.3,82.1,56.0,No,60.9,Pass
229,3.6,73.5,7.7,75.5,37.0,No,63.3,Pass
230,6.4,70.7,9.0,,80.1,No,70.1,Pass
231,3.5,82.4,5.8,66.6,54.7,Yes,59.9,Fail
232,5.4,68.3,4.9,64.8,76.9,Yes,59.1,Fail
233,5.1,84.9,6.4,69.7,35.4,No,67.8,Pass
234,3.7,59.6,9.0,65.5,78.4,Yes,46.3,Fail
235,9.3,92.3,5.5,82.0,46.8,Yes,80.3,Distinction
236,6.3,85.7,8.5,45.8,76.0,Yes,67.1,Pass
237,0.9,83.1,8.5,54.2,65.2,No,53.9,Fail
238,5.4,91.8,5.8,54.0,50.7,No,66.5,Pass
239,3.7,100.0,7.2,84.3,58.9,Yes,63.0,Pass
240,6.7,92.2,8.5,95.7,75.3,No,76.9,Distinction
241,3.4,57.9,6.0,68.4,66.6,Yes,51.6,Fail
242,4.8,64.6,6.3,67.5,73.8,Yes,54.5,Fail
243,6.0,72.5,5.8,71.1,94.6,No,73.0,Distinction
244,6.7,80.3,5.3,87.4,41.5,No,66.5,Pass
245,2.6,86.2,5.7,56.1,89.3,No,39.1,Fail
246,4.3,71.3,5.0,73.6,66.6,Yes,55.8,Fail
247,4.1,82.2,6.5,84.6,51.5,No,56.3,Fail
248,3.7,70.9,5.6,77.5,45.0,No,45.4,Fail
249,8.5,72.7,6.8,72.8,62.2,No,67.8,Pass
250,5.8,63.1,4.6,85.0,78.8,No,64.3,Pass
251,2.5,68.9,6.9,29.5,63.1,No,55.0,Fail
252,6.8,63.8,7.5,,87.7,No,73.7,Distinction
253,9.2,68.3,4.1,60.2,43.2,No,65.1,Pass
254,7.1,92.6,6.9,42.5,64.8,No,73.9,Distinction
255,2.0,68.6,8.0,77.7,46.2,No,49.7,Fail
256,4.0,100.0,5.0,90.6,70.5,No,63.0,Pass
257,7.5,85.9,8.5,67.9,78.3,No,71.6,Distinction
258,3.6,82.2,7.0,84.3,58.7,Yes,51.7,Fail
259,5.9,69.7,5.7,94.2,30.0,Yes,61.4,Pass
260,6.5,88.4,6.4,89.7,68.0,No,75.7,Distinction
261,3.1,73.1,7.2,94.6,71.6,No,60.7,Pass
262,4.9,81.5,6.6,81.1,71.1,No,64.2,Pass
263,0.0,100.0,7.1,71.1,83.5,Yes,49.0,Fail
264,3.0,78.8,5.4,46.0,48.9,No,53.7,Fail
265,4.5,93.8,6.7,66.3,75.2,Yes,58.8,Fail
266,2.5,71.6,4.8,57.4,82.9,No,55.4,Fail
267,8.3,79.6,6.4,100.0,38.3,No,71.4,Distinction
268,2.1,100.0,5.4,67.4,69.8,No,53.0,Fail
269,4.1,72.5,5.6,71.8,57.4,No,48.6,Fail
270,5.3,100.0,8.0,78.3,63.8,No,70.7,Distinction
271,7.9,88.5,7.8,70.7,70.2,No,85.0,Distinction
272,2.1,73.3,7.2,95.4,57.7,Yes,59.6,Fail
273,7.3,87.6,5.2,60.7,54.9,No,75.7,Distinction
274,5.0,91.7,6.1,72.9,65.5,No,70.2,Distinction
275,3.0,87.5,8.0,58.9,48.7,No,51.5,Fail
276,5.9,61.2,6.7,50.2,48.7,Yes,56.4,Fail
277,5.4,71.3,9.0,60.8,75.2,No,62.2,Pass
278,3.8,77.0,7.0,69.4,47.8,Yes,66.2,Pass
279,5.1,79.1,6.7,63.6,75.0,No,57.5,Fail
280,4.2,87.4,6.1,59.6,71.9,No,67.2,Pass
281,5.2,82.1,6.7,,39.1,No,65.4,Pass
282,6.3,64.0,6.3,68.8,54.8,No,74.3,Distinction
283,8.2,84.6,7.3,47.4,82.9,Yes,73.7,Distinction
284,2.5,87.3,7.6,81.4,50.3,Yes,63.5,Pass
285,9.3,86.7,5.6,71.2,58.0,No,92.8,Distinction
286,1.1,93.0,4.9,48.1,71.9,No,45.1,Fail
287,4.7,90.0,4.3,65.4,76.8,Yes,53.7,Fail
288,6.2,85.5,7.1,58.7,61.2,No,57.4,Fail
289,5.6,79.2,5.2,74.8,56.0,No,68.3,Pass
290,3.8,60.1,4.0,90.1,86.3,No,45.2,Fail
291,4.6,85.2,7.0,41.9,91.1,No,61.1,Pass
292,4.0,82.5,9.0,71.7,79.7,Yes,69.5,Pass
293,3.8,83.3,6.5,67.6,66.3,Yes,61.8,Pass
294,6.7,64.7,7.5,80.1,52.9,No,70.7,Distinction
295,5.7,67.0,6.6,73.2,52.5,No,64.2,Pass
296,3.6,92.6,6.4,58.7,72.8,No,69.1,Pass
297,6.8,79.5,,65.2,71.3,No,66.3,Pass
298,5.6,88.2,6.2,58.1,86.0,No,64.2,Pass
299,6.6,80.3,6.8,86.1,74.8,No,69.1,Pass
300,6.3,80.4,6.9,70.3,42.5,No,72.3,Distinction
301,3.3,91.3,5.7,98.5,80.8,No,71.2,Distinction
302,3.9,73.8,7.7,69.1,50.0,No,61.7,Pass
303,6.5,81.2,6.3,59.4,59.2,Yes,74.4,Distinction
304,6.2,74.5,5.6,47.3,68.8,No,55.6,Fail
305,5.0,74.8,7.1,43.0,94.9,Yes,72.8,Distinction
306,5.2,76.3,5.4,46.2,100.0,No,71.4,Distinction
307,7.6,82.7,6.5,74.0,74.1,No,79.9,Distinction
308,3.8,74.3,6.5,77.6,62.3,No,70.2,Distinction
309,6.1,95.1,7.8,46.3,73.0,Yes,61.1,Pass
310,4.6,69.3,7.1,83.4,78.3,Yes,61.3,Pass
311,4.6,77.8,6.5,62.8,60.2,Yes,56.3,Fail
312,7.2,74.7,7.5,72.2,91.9,No,79.5,Distinction
313,6.7,97.4,8.2,94.2,68.5,Yes,74.8,Distinction
314,6.6,82.4,7.2,83.5,72.5,No,78.8,Distinction
315,7.6,92.4,6.5,66.0,75.0,No,85.1,Distinction
316,5.0,62.2,4.9,56.6,71.3,No,60.2,Fail
317,6.4,83.2,5.2,37.7,77.6,No,66.1,Pass
318,4.4,90.7,,59.2,55.7,Yes,55.7,Fail
319,5.6,81.0,5.8,66.8,56.6,No,59.1,Fail
320,4.7,92.8,6.3,55.2,48.5,No,69.7,Pass
321,5.2,73.8,6.6,68.0,71.6,Yes,68.6,Pass
322,6.2,96.9,7.1,71.2,76.7,No,74.7,Distinction
323,3.4,100.0,6.4,66.6,71.9,Yes,61.2,Pass
324,9.2,75.6,7.1,,90.1,No,67.6,Pass
325,3.0,74.7,6.6,72.5,64.9,No,50.0,Fail
326,2.6,97.4,4.1,76.6,75.0,Yes,70.1,Pass
327,7.3,99.0,5.4,53.6,48.6,No,63.6,Pass
328,6.6,73.7,6.3,91.2,59.2,No,71.7,Distinction
329,6.2,75.0,5.0,68.5,75.4,No,71.8,Distinction
330,6.3,76.6,7.2,70.3,77.7,No,62.8,Pass
331,5.0,63.9,8.3,80.6,60.6,No,65.2,Pass
332,3.2,69.0,8.0,73.5,63.9,Yes,63.5,Pass
333,5.2,68.0,6.2,84.3,42.2,Yes,61.4,Pass
334,3.6,70.8,8.3,74.3,59.6,Yes,77.1,Distinction
335,7.0,79.6,6.7,60.8,78.4,No,61.4,Pass
336,4.7,82.8,6.1,75.4,73.6,No,71.3,Distinction
337,3.3,98.6,5.8,52.8,72.5,No,59.0,Fail
338,4.4,68.0,6.1,71.6,65.7,No,63.5,Pass
339,5.8,91.8,6.0,69.5,65.1,Yes,71.8,Distinction
340,3.9,77.4,6.7,66.9,55.1,Yes,54.2,Fail
341,3.4,79.4,6.7,68.1,75.5,Yes,60.9,Pass
342,5.5,88.1,6.5,41.8,71.3,Yes,53.3,Fail
343,5.5,66.5,7.0,61.8,72.4,Yes,66.5,Pass
344,4.0,84.6,7.9,71.4,57.1,No,65.2,Pass
345,4.1,82.0,7.6,72.4,32.7,Yes,64.2,Pass
346,5.5,85.9,4.7,54.6,81.5,Yes,70.5,Distinction
347,2.1,83.5,4.0,89.0,57.8,Yes,55.6,Fail
348,2.2,100.0,7.6,57.0,52.1,Yes,58.7,Fail
349,3.6,72.3,4.9,84.5,75.4,No,53.0,Fail
350,4.6,73.6,6.2,76.4,59.1,No,56.9,Fail
351,5.6,72.5,5.1,60.3,80.9,No,69.6,Pass
352,8.0,73.3,4.3,96.6,74.3,No,83.3,Distinction
353,6.7,72.4,7.1,52.1,75.3,Yes,66.1,Pass
354,4.7,94.3,7.4,83.8,44.5,No,68.4,Pass
355,5.0,97.0,5.8,85.0,83.2,Yes,66.1,Pass
356,3.0,73.2,4.0,59.9,68.9,Yes,57.7,Fail
357,5.0,70.0,5.8,90.9,59.5,Yes,67.3,Pass
358,4.4,85.7,7.0,66.2,67.2,Yes,75.6,Distinction
359,5.6,73.4,4.7,74.3,38.4,Yes,54.7,Fail
360,3.3,87.6,6.7,73.9,71.1,Yes,59.4,Fail
361,6.0,82.4,6.5,68.0,49.6,No,67.9,Pass
362,8.1,61.8,7.2,82.2,44.7,Yes,75.3,Distinction
363,4.8,98.6,6.6,81.9,42.2,Yes,66.6,Pass
364,5.8,100.0,5.3,43.8,81.7,No,62.8,Pass
365,6.4,72.6,7.9,89.6,55.6,Yes,76.7,Distinction
366,4.2,75.3,6.3,45.1,88.0,Yes,62.9,Pass
367,5.4,83.4,6.5,85.5,57.0,No,62.5,Pass
368,5.0,84.0,5.4,86.9,39.4,Yes,71.7,Distinction
369,5.2,87.9,6.0,53.6,48.3,Yes,69.1,Pass
370,3.5,100.0,5.4,63.8,83.5,No,64.1,Pass
371,5.0,77.9,6.3,53.4,62.7,Yes,61.2,Pass
372,6.0,70.4,8.6,66.8,56.8,No,70.5,Distinction
373,7.9,63.4,4.9,65.4,67.4,No,62.2,Pass
374,6.9,71.2,4.6,81.7,72.5,Yes,68.5,Pass
375,9.3,79.6,8.3,89.7,81.8,No,73.6,Distinction
376,3.5,100.0,6.2,90.9,86.7,No,74.1,Distinction
377,6.7,73.8,5.7,61.6,59.6,Yes,56.3,Fail
378,5.4,82.7,7.7,66.9,45.1,No,74.7,Distinction
379,9.4,79.8,5.8,44.7,58.8,Yes,72.2,Distinction
380,3.4,94.3,8.7,57.9,68.9,No,62.8,Pass
381,3.3,100.0,,84.5,50.5,Yes,61.5,Pass
382,3.8,73.6,5.9,94.2,50.6,No,58.0,Fail
383,0.8,74.1,9.0,51.5,70.2,Yes,58.1,Fail
384,3.9,92.5,5.8,61.1,64.3,No,46.1,Fail
385,3.5,88.2,7.4,69.6,65.5,Yes,70.1,Pass
386,5.3,100.0,6.9,74.2,53.6,No,72.4,Distinction
387,5.7,87.0,8.1,57.9,61.5,No,61.4,Pass
388,8.8,75.7,8.4,76.4,51.1,No,72.4,Distinction
389,6.9,87.1,6.5,62.9,78.4,No,83.0,Distinction
390,3.8,93.3,5.6,69.8,80.5,No,57.9,Fail
391,3.2,89.8,7.1,78.2,37.3,No,52.8,Fail
392,6.0,86.1,5.7,70.1,51.1,No,73.5,Distinction
393,2.4,92.8,8.9,63.5,42.6,Yes,60.8,Pass
394,8.7,94.0,6.7,68.4,55.2,No,74.2,Distinction
395,7.4,96.6,6.1,68.7,63.7,No,77.2,Distinction
396,4.1,87.8,6.7,64.4,43.3,No,54.2,Fail
397,1.6,78.0,4.9,66.1,51.2,No,54.1,Fail
398,7.7,81.8,5.3,94.0,49.9,Yes,80.8,Distinction
399,4.8,94.5,7.9,78.4,68.1,Yes,74.0,Distinction
400,7.5,70.2,5.7,65.6,66.0,No,71.0,Distinction
401,1.8,84.4,5.2,80.5,54.2,No,63.3,Pass
402,3.8,75.3,7.1,65.0,67.7,No,59.3,Fail
403,5.0,80.3,7.9,87.6,56.8,No,61.2,Pass
404,5.1,95.3,7.4,75.5,60.9,No,72.9,Distinction
405,4.1,82.3,7.7,68.4,90.1,Yes,78.3,Distinction
406,6.2,80.6,5.6,76.7,85.1,No,64.2,Pass
407,2.9,63.7,4.8,46.4,45.5,No,42.6,Fail
408,4.7,89.0,8.3,53.1,77.4,Yes,69.4,Pass
409,5.2,87.7,6.1,52.1,77.2,No,64.5,Pass
410,6.0,100.0,6.2,72.1,47.8,No,65.0,Pass
411,6.4,76.3,8.1,96.0,77.3,Yes,82.5,Distinction
412,2.8,82.6,7.2,100.0,88.1,Yes,79.0,Distinction
413,1.9,83.0,7.0,79.6,48.2,No,55.8,Fail
414,7.6,98.9,9.0,77.5,51.2,Yes,76.1,Distinction
415,5.7,78.9,5.7,43.0,80.3,No,53.4,Fail
416,3.5,83.3,7.6,61.9,69.1,No,62.2,Pass
417,8.1,87.3,6.6,58.2,73.3,No,82.8,Distinction
418,5.2,82.2,6.8,60.7,70.1,No,67.9,Pass
419,7.4,74.6,8.3,67.5,70.9,Yes,74.2,Distinction
420,5.1,82.3,7.1,62.9,45.1,No,59.5,Fail
421,9.1,92.9,7.1,40.3,80.7,Yes,73.3,Distinction
